step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_IN,239.95,C967342063,33686.04,33925.99,C804544770,40740.74,40500.79,0,0
1,CASH_OUT,16.83,C668518038,47480.98,47464.15,C683997708,38609.95,38626.78,0,0
1,CASH_IN,54.94,C701511486,33078.07,33133.01,C710032849,44527.34,44472.4,0,0
1,CASH_OUT,182.6,C141685935,14023.1,13840.5,C918307456,27950.67,28133.27,0,0
1,CASH_OUT,271.19,C500152033,3724.03,3452.84,C462918332,14578.03,14849.22,0,0
1,CASH_OUT,63.02,C902386456,41848.5,41785.48,C254402510,41569.21,41632.23,0,0
1,DEBIT,36.92,C422839356,39037.01,39000.09,C237453903,25635.57,25672.49,0,0
1,CASH_IN,70.86,C197920474,37684.72,37755.58,C617410598,48185.78,48114.92,0,0
1,PAYMENT,30.49,C311326321,12714.0,12683.51,M512732752,355172.49,355202.98,0,0
1,CASH_IN,11.6,C165167326,29841.0,29852.6,C130862965,23793.93,23782.33,0,0
1,CASH_OUT,174.1,C948454088,41730.35,41556.25,C517975218,34526.65,34700.75,0,0
1,PAYMENT,232.76,C716797232,48093.99,47861.23,M159652255,322166.47,322399.23,0,0
1,CASH_OUT,395.74,C114686598,6467.2,6071.46,C343279990,23719.07,24114.81,0,0
1,DEBIT,143.73,C166213689,44572.7,44428.97,C371955233,34160.33,34304.06,0,0
1,CASH_OUT,310.49,C531734966,12990.67,12680.18,C328226861,24863.19,25173.68,0,0
1,CASH_IN,14.94,C192022499,37485.89,37500.83,C997175439,17138.14,17123.2,0,0
1,PAYMENT,9.61,C975303072,9487.99,9478.38,M435997187,90823.53,90833.14,0,0
1,TRANSFER,428602.8,C987300938,40386.74,0.0,C427463126,21130.74,449733.54,1,1
1,TRANSFER,546.18,C122089782,29749.0,29202.82,C917997331,30831.06,31377.24,0,0
1,CASH_OUT,557.87,C715716570,10921.08,10363.21,C862891614,13953.3,14511.17,0,0
1,CASH_OUT,73.73,C165883855,19492.95,19419.22,C933229016,4118.65,4192.38,0,0
1,PAYMENT,119.58,C105768287,5346.03,5226.45,M643131648,987364.01,987483.59,0,0
1,PAYMENT,535.31,C142084120,4781.16,4245.85,M472486037,817348.55,817883.86,0,0
1,CASH_OUT,62.03,C660002741,5673.25,5611.22,C664147458,5598.09,5660.12,0,0
1,CASH_OUT,340.17,C590393875,3476.02,3135.85,C646195104,12368.88,12709.05,0,0
1,CASH_OUT,652.85,C593933979,21638.74,20985.89,C208116223,22024.3,22677.15,0,0
1,CASH_IN,263.2,C591055979,44723.95,44987.15,C202193202,26613.42,26350.22,0,0
1,CASH_IN,61.95,C135561710,9368.37,9430.32,C961760023,42290.49,42228.54,0,0
1,CASH_IN,88.17,C356602883,40081.15,40169.32,C277655587,34056.62,33968.45,0,0
2,PAYMENT,281.51,C979055544,756.03,474.52,M761304134,511226.27,511507.78,0,0
2,CASH_IN,64.53,C149454265,46340.91,46405.44,C412159200,5421.25,5356.72,0,0
2,CASH_IN,7075.75,C247598944,28742.56,35818.31,C246102291,20230.24,13154.49,0,0
2,CASH_OUT,641.76,C315856945,35133.33,34491.57,C690017590,1246.38,1888.14,0,0
2,PAYMENT,394.35,C453043927,39245.72,38851.37,M899148215,835046.5,835440.85,0,0
2,TRANSFER,118.37,C458629276,38044.56,37926.19,C160555837,17385.92,17504.29,0,0
2,CASH_IN,434.5,C412865701,14868.86,15303.36,C210349428,24408.38,23973.88,0,0
2,CASH_OUT,261.16,C790069363,37932.2,37671.04,C378044900,12891.01,13152.17,0,0
2,CASH_IN,271.83,C940682469,42963.36,43235.19,C988583386,8469.21,8197.38,0,0
2,CASH_OUT,14.86,C210090196,38780.41,38765.55,C172004756,15914.11,15928.97,0,0
2,CASH_IN,77.32,C663453576,3557.85,3635.17,C843734249,48716.42,48639.1,0,0
2,CASH_OUT,162.16,C881071199,9893.6,9731.44,C628184810,12583.28,12745.44,0,0
2,CASH_OUT,24.72,C469605362,23850.19,23825.47,C281779831,22801.5,22826.22,0,0
